报告日期,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2005-06-30,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,
基本每股收益(元),0.86,0.64,0.42,0.24,0.86,0.71,0.47,0.23,0.82,0.67,0.45,0.22,0.79,0.64,0.43,0.21,--,0.63,0.42,0.21,0.77,0.62,0.42,0.21,0.78,0.63,0.42,0.21,0.75,0.59,0.4,0.2,0.68,0.53,0.35,0.18,0.6,0.47,0.31,0.15,0.48,0.38,0.25,0.12,0.39,0.3,0.2,0.11,0.33,0.28,0.19,0.1,0.24,0.19,0.12,0.06,--,0.14,--,0.15,--,--,--,--,--,--,--,--,--,
每股净资产(元),7.48,7.24,7.08,7.18,6.93,6.79,6.53,6.53,6.3,6.12,5.87,5.85,5.73,5.62,5.42,5.46,5.29,5.21,4.99,5,4.8,4.62,4.4,4.52,4.33,4.06,3.86,3.87,3.63,3.51,3.35,3.42,3.22,3.07,2.91,2.93,2.74,2.58,2.46,2.5,2.35,2.26,2.11,2.15,2.02,1.93,1.85,1.91,1.81,1.74,1.65,1.7,1.61,1.56,1.49,1.45,1.39,0,1.14,1.04,0,--,0,--,--,--,--,--,1.13,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.92,--,2.53,2.35,1.14,1,0.49,0.68,0.95,0.8,1.88,1.45,0.85,1.21,1.02,-0.2,-0.4,1.11,0.24,0.59,0.33,0.89,1.31,0.94,0.32,1.19,0,1.15,1.48,0,--,0,--,--,--,--,--,0,
主营业务收入(万元),88266500,66569300,44845600,22697900,85516400,64694200,44291500,23550100,77378900,57705500,38745100,19719800,72650200,53577300,36215100,18952500,--,51777400,35767000,19388900,69764700,52462800,35624200,18116400,65889200,48858900,32842500,16263300,58963700,44191700,29860700,14776000,53694500,40147300,26548600,13101700,47521400,35172900,23268800,11381700,38082100,27869000,18170800,8733800,30945400,22663400,14835200,7288700,30975800,23171700,15500700,7564000,25415700,18237400,11649200,5452000,17888900,13169300,8466900,16237800,7649000,13934200,12408700,9151100,16411500,18270200,16667200,18082700,0,
主营业务利润(万元),39138200,28369700,18915400,10684100,39056800,31209800,20893100,10309900,37118700,29435500,19518200,10028600,36184200,29078900,19536200,9840300,--,28853000,19410700,9752200,35953500,28887400,19334900,9638900,35961200,28750500,19350600,9536000,33704600,26403700,17839300,8823500,30745800,23905000,15965800,7960100,27100000,21124400,14150300,6958200,21448700,16577300,11028400,5391700,16599400,12808700,8506600,4547800,14353100,11950500,8355200,4330900,11318500,9068200,5757700,2778300,10300100,5511600,5062600,9166600,4566900,8400500,6987200,974000,1438600,1593600,-2344600,-940900,0,
营业利润(万元),39138200,28369700,18915400,10684100,39056800,31209800,20893100,10309900,37118700,29435500,19518200,10028600,36184200,29078900,19536200,9840300,--,28853000,19410700,9752200,35953500,28887400,19334900,9638900,35961200,28750500,19350600,9536000,33704600,26403700,17839300,8823500,30745800,23905000,15965800,7960100,27100000,21124400,14150300,6958200,21448700,16577300,11028400,5391700,16599400,12808700,8506600,4547800,14353100,11950500,8355200,4330900,11318500,9068200,5757700,2778300,10300100,5511600,5062600,9166600,4566900,8400500,6987200,974000,1438600,1593600,-2344600,-940900,0,
投资收益(万元),2996500,2510400,1823300,1118500,950000,109100,-108100,-223000,1882100,1265500,989800,267800,1192700,606000,378700,189900,--,656500,411400,199800,1040900,757000,608000,366600,492000,306700,182700,43100,307800,377500,281600,121100,470700,384200,279900,172800,833700,577000,336500,121800,327500,224500,148100,69600,990400,842600,452300,98600,334800,196800,142700,111100,204000,131000,85000,45500,4300,132000,-28100,38700,32500,23900,63200,--,11000,17100,2131500,1372200,0,
营业外收支净额(万元),74400,42900,19700,27900,122100,105600,27800,46800,122600,216800,203400,136000,279900,197000,113600,39300,--,133600,96800,40000,370000,164700,132900,63000,200000,72600,58400,29700,149100,61200,44800,10300,122900,79000,55400,22700,131100,111500,84200,41600,93900,55100,33200,19800,125400,78600,61100,14600,177000,107900,85900,37100,192900,75700,83400,17000,70900,0,17700,-177600,141000,--,20700,-283800,67600,147000,625700,-86100,0,
利润总额(万元),39212600,28412600,18935100,10712000,39178900,31315400,20920900,10356700,37241300,29652300,19721600,10164600,36464100,29275900,19649800,9879600,--,28986600,19507500,9792200,36323500,29052100,19467800,9701900,36161200,28823100,19409000,9565700,33853700,26464900,17884100,8833800,30868700,23984000,16021200,7982800,27231100,21235900,14234500,6999800,21542600,16632400,11061600,5411500,16724800,12887300,8567700,4562400,14530100,12058400,8441100,4368000,11511400,9143900,5841100,2795300,7152100,5573400,3858500,6287600,3535600,5431100,3378600,690200,624400,522000,412600,345200,0,
净利润(万元),31590600,22867500,14879000,8449400,31222400,25171200,16793100,8200500,29767600,23962700,16044200,7880200,28604900,22799900,15299500,7578600,--,22279200,15021700,7476400,27713100,22176100,14902100,7432400,27581100,22046400,14810000,7330200,26264900,20553300,13834700,6874300,23853200,18560200,12316000,6133500,20826500,16384000,10948100,5378700,16515600,12721600,8460300,4154700,12859900,9990800,6631300,3515300,11076600,9273000,6453100,3311300,8125600,6330700,4084400,1870600,4871900,3797000,2514300,3740500,2511200,3076300,2237400,652700,612500,515100,412600,345200,0,
